Run,Time Adjacent (s),Time Padded (s),Speedup
1,0.307671,0.273300,1.125763
2,0.292435,0.286825,1.019560
3,0.282045,0.265762,1.061268
4,0.290964,0.269413,1.079991
5,0.277411,0.271552,1.021577
6,0.282287,0.278427,1.013865
7,0.288222,0.272740,1.056763
8,0.281873,0.267648,1.053148
9,0.283694,0.274086,1.035054
10,0.281683,0.270873,1.039910
11,0.288685,0.279963,1.031153
12,0.340214,0.267599,1.271359
13,0.301417,0.325745,0.925317
14,0.289456,0.270198,1.071272
15,0.281669,0.273638,1.029351
16,0.299143,0.268051,1.115992
17,0.290749,0.284726,1.021154
18,0.286276,0.267846,1.068808
19,0.279354,0.272945,1.023481
20,0.282313,0.269881,1.046064
21,0.276815,0.268459,1.031126
22,0.274319,0.267302,1.026251
23,0.294551,0.271279,1.085789
24,0.282456,0.274511,1.028945
25,0.284686,0.263332,1.081091
26,0.289053,0.273947,1.055140
27,0.283064,0.269085,1.051949
28,0.280374,0.266834,1.050742
29,0.279171,0.269042,1.037647
30,0.280343,0.267296,1.048813
31,0.278476,0.308038,0.904031
32,0.296957,0.274416,1.082140
33,0.288603,0.264745,1.090120
34,0.279695,0.273380,1.023101
35,0.295490,0.267413,1.104994
36,0.279884,0.268113,1.043903
37,0.277271,0.273437,1.014020
38,0.273422,0.273244,1.000650
39,0.282613,0.327515,0.862901
40,0.288033,0.272966,1.055199
41,0.281912,0.277345,1.016468
42,0.285956,0.266950,1.071200
43,0.284982,0.268814,1.060147
44,0.290480,0.267571,1.085617
45,0.279536,0.273905,1.020556
46,0.278926,0.273760,1.018867
47,0.277259,0.267953,1.034729
48,0.279224,0.267683,1.043116
49,0.277444,0.275112,1.008477
50,0.279208,0.267137,1.045187
51,0.283974,0.270498,1.049821
52,0.284975,0.267653,1.064722
53,0.281368,0.267377,1.052325
54,0.278094,0.272310,1.021242
55,0.279852,0.267813,1.044954
56,0.276525,0.270202,1.023401
57,0.280133,0.268160,1.044648
58,0.280972,0.267888,1.048844
59,0.289916,0.266557,1.087634
60,0.276983,0.263487,1.051220
61,0.278197,0.270535,1.028322
62,0.279324,0.267496,1.044219
63,0.283437,0.266266,1.064488
64,0.288394,0.268954,1.072281
65,0.278151,0.267735,1.038902
66,0.280488,0.304476,0.921217
67,0.318214,0.274488,1.159300
68,0.289918,0.271623,1.067355
69,0.290241,0.267795,1.083817
70,0.297616,0.261049,1.140075
71,0.290722,0.268713,1.081908
72,0.281316,0.267721,1.050780
73,0.277171,0.268073,1.033937
74,0.281163,0.270760,1.038422
75,0.278927,0.268457,1.038999
76,0.277580,0.268097,1.035372
77,0.285203,0.267389,1.066620
78,0.278491,0.271478,1.025834
79,0.280473,0.268167,1.045889
80,0.282860,0.259662,1.089339
81,0.283618,0.267595,1.059878
82,0.280122,0.266635,1.050582
83,0.279361,0.267323,1.045029
84,0.275800,0.275248,1.002006
85,0.280299,0.270351,1.036797
86,0.281979,0.268104,1.051752
87,0.285455,0.274618,1.039462
88,0.282460,0.267111,1.057464
89,0.281593,0.269537,1.044726
90,0.289599,0.267055,1.084417
91,0.284047,0.268350,1.058494
92,0.278801,0.268259,1.039297
93,0.281399,0.346610,0.811860
94,0.279939,0.269097,1.040287
95,0.278655,0.271869,1.024962
96,0.277268,0.270768,1.024006
97,0.280214,0.263983,1.061484
98,0.285765,0.267919,1.066611
99,0.285583,0.267721,1.066718
100,0.285096,0.275354,1.035379
